"TEXT";"CODE";"ZUSATZZIFFER";"GEMEINDE";"KANTON";"E";"N"
"Aven";1976;1;"Conthey";"VS";7.268;46.236
"Avenches";1580;0;"Avenches";"VD";7.040;46.880
"Avry-devant-Pont";1644;0;"Pont-en-Ogoz";"FR";7.086;46.687
"Avry-sur-Matran";1754;4;"Avry";"FR";7.070;46.787
"Avully";1237;0;"Avully";"GE";6.000;46.169
"Axalp";3855;1;"Brienz (BE)";"BE";8.038;46.721
"Ayer";3961;24;"Anniviers";"VS";7.605;46.180
"Azmoos";9478;0;"Wartau";"SG";9.478;47.081
"Aïre";1219;10;"Vernier";"GE";6.098;46.199
"Baar";6340;0;"Baar";"ZG";8.517;47.196
"Baar (Nendaz)";1996;5;"Nendaz";"VS";7.327;46.205
"Bachenbülach";8184;0;"Bachenbülach";"ZH";8.540;47.501
"Bachs";8164;0;"Bachs";"ZH";8.440;47.525
"Bad Ragaz";7310;0;"Bad Ragaz";"SG";9.506;47.002
"Bad Ragaz";7310;0;"Pfäfers";"SG";9.487;46.974
"Bad Zurzach";5330;0;"Bad Zurzach";"AG";8.295;47.582
"Baden";5404;0;"Baden";"AG";8.278;47.454
"Baden";5400;0;"Baden";"AG";8.299;47.476
"Baldegg";6283;0;"Hochdorf";"LU";8.280;47.180
"Baldingen";5333;0;"Baldingen";"AG";8.315;47.556
"Balerna";6828;0;"Balerna";"TI";9.005;45.847
"Balgach";9436;0;"Balgach";"SG";9.606;47.407
"Ballaigues";1338;0;"Ballaigues";"VD";6.414;46.729
"Ballens";1144;0;"Ballens";"VD";6.374;46.554
"Ballmoos";3303;4;"Jegenstorf";"BE";7.475;47.040
"Ballwil";6275;0;"Ballwil";"LU";8.320;47.152
"Balm b. Günsberg";4525;0;"Balm bei Günsberg";"SO";7.554;47.253
"Balm b. Messen";3254;2;"Messen";"SO";7.434;47.103
"Balmberg";4524;2;"Balm bei Günsberg";"SO";7.551;47.270
"Balsthal";4710;0;"Balsthal";"SO";7.698;47.311
"Balterswil";8362;0;"Bichelsee-Balterswil";"TG";8.940;47.456
"Baltschieder";3937;0;"Baltschieder";"VS";7.859;46.306
"Baltschieder";3937;0;"Baltschieder";"VS";7.881;46.375
"Balzers";9496;0;"Balzers";"LI";9.504;47.064
"Banco";6981;16;"Bedigliora";"TI";8.840;46.010
"Bangerten b. Dieterswil";3256;2;"Bangerten";"BE";7.447;47.056
"Bannwil";4913;0;"Bannwil";"BE";7.729;47.237
"Barbengo";6917;0;"Lugano";"TI";8.913;45.959
"Barberêche";1783;4;"Barberêche";"FR";7.161;46.856
"Bargen BE";3282;0;"Bargen (BE)";"BE";7.257;47.040
"Bargen SH";8233;0;"Bargen (SH)";"SH";8.610;47.791
"Barmelweid";5017;0;"Erlinsbach (AG)";"AG";7.969;47.421
"Barzheim";8241;0;"Thayngen";"SH";8.721;47.760
"Basadingen";8254;0;"Basadingen-Schlattingen";"TG";8.743;47.671
"Basel";4051;0;"Basel";"BS";7.586;47.554
"Basel";4055;0;"Basel";"BS";7.564;47.563
"Basel";4052;0;"Basel";"BS";7.596;47.522
"Basel";4054;0;"Basel";"BS";7.568;47.550
"Basel";4001;0;"Basel";"BS";7.588;47.556
"Basel";4059;0;"Basel";"BS";7.593;47.531
"Basel";4053;0;"Basel";"BS";7.601;47.538
"Basel";4058;0;"Basel";"BS";7.590;47.554
"Basel";4057;0;"Basel";"BS";7.599;47.576
"Basel";4056;0;"Basel";"BS";7.573;47.569
"Basel";4052;0;"Basel";"BS";7.607;47.547
"Basse-Nendaz";1996;0;"Nendaz";"VS";7.311;46.192
"Bassecourt";2854;0;"Haute-Sorne";"JU";7.248;47.333
"Bassersdorf";8303;0;"Bassersdorf";"ZH";8.621;47.439
"Bassins";1269;0;"Bassins";"VD";6.231;46.462
"Bauen";6466;0;"Bauen";"UR";8.577;46.935
"Baulmes";1446;0;"Baulmes";"VD";6.518;46.790
"Bauma";8494;0;"Bauma";"ZH";8.877;47.367
"Bavois";1372;0;"Bavois";"VD";6.565;46.685
"Bazenheid";9602;0;"Kirchberg (SG)";"SG";9.065;47.411
"Beatenberg";3803;0;"Beatenberg";"BE";7.791;46.695
"Beckenried";6375;0;"Beckenried";"NW";8.468;46.965
"Bedano";6930;0;"Bedano";"TI";8.918;46.051
"Bedigliora";6981;11;"Bedigliora";"TI";8.841;46.002
"Bedigliora";6981;11;"Bedigliora";"TI";8.828;46.021
"Bedretto";6781;4;"Bedretto";"TI";8.506;46.505
"Beggingen";8228;0;"Beggingen";"SH";8.533;47.767
"Begnins";1268;0;"Begnins";"VD";6.251;46.440
"Beinwil (Freiamt)";5637;0;"Beinwil (Freiamt)";"AG";8.339;47.229
"Beinwil SO";4229;0;"Beinwil (SO)";"SO";7.590;47.362
