"BFSNR"|"GEMEINDENAME"|"SPRACHREGION"|"GEMEINDE_GROESSE"|"STADT"|"LON"|"LAT"|"PLZ"|"INITIAL"
1008|"Schüpfheim"|1|6|false|8.021175|46.951131|6170|false
1009|"Werthenstein"|1|6|false|8.139831|47.036175|6105|false
1010|"Escholzmatt-Marbach"|1|6|false|7.940900|46.913306|6182|false
1023|"Ballwil"|1|6|false|8.320708|47.152283|6275|false
1024|"Emmen"|1|3|true|8.273678|47.077297|6020|false
1026|"Eschenbach (LU)"|1|6|false|8.320281|47.132775|6274|false
1030|"Hitzkirch"|1|6|false|8.271531|47.214608|6284|false
1031|"Hochdorf"|1|5|false|8.293025|47.166883|6280|false
1032|"Hohenrain"|1|6|false|8.318347|47.179486|6276|false
1033|"Inwil"|1|6|false|8.350275|47.122186|6034|false
1037|"Rain"|1|6|false|8.263186|47.129725|6026|false
1040|"Rothenburg"|1|5|false|8.273053|47.093925|6023|false
1051|"Adligenswil"|1|5|false|8.365092|47.070569|6043|false
1052|"Buchrain"|1|5|false|8.346000|47.094767|6033|false
1054|"Ebikon"|1|4|true|8.340211|47.081786|6030|false
1058|"Horw"|1|4|true|8.333803|47.013433|6047|false
1059|"Kriens"|1|3|true|8.254697|46.979256|6010|false
1061|"Luzern"|1|2|true|8.297008|47.050058|6003|true
1062|"Malters"|1|5|false|8.188939|47.037464|6102|false
1063|"Meggen"|1|5|false|8.372058|47.046486|6045|false
1065|"Root"|1|6|false|8.384517|47.113472|6037|false
1067|"Udligenswil"|1|6|false|8.399283|47.091114|6044|false
1069|"Weggis"|1|6|false|8.434314|47.032694|6353|false
1081|"Beromünster"|1|5|false|8.211831|47.177031|6025|false
1082|"Büron"|1|6|false|8.090950|47.214739|6233|false
1083|"Buttisholz"|1|6|false|8.087689|47.114497|6018|false
1085|"Geuensee"|1|6|false|8.113014|47.200356|6232|false
1086|"Grosswangen"|1|6|false|8.050044|47.133289|6022|false
1088|"Hildisrieden"|1|6|false|8.233369|47.150094|6024|false
1089|"Knutwil"|1|6|false|8.072789|47.201608|6213|false
1093|"Neuenkirch"|1|5|false|8.196847|47.070139|6016|false
1094|"Nottwil"|1|6|false|8.133828|47.134367|6207|false
1095|"Oberkirch"|1|6|false|8.115308|47.158514|6208|false
1097|"Rickenbach (LU)"|1|6|false|8.172942|47.249100|5735|false
1098|"Ruswil"|1|5|false|8.126656|47.085108|6017|false
1099|"Schenkon"|1|6|false|8.135519|47.173253|6214|false
1102|"Sempach"|1|6|false|8.199031|47.133011|6204|false
1103|"Sursee"|1|5|true|8.109414|47.173317|6210|false
1104|"Triengen"|1|6|false|8.089506|47.253425|6234|false
1107|"Wolhusen"|1|6|false|8.039553|47.035808|6110|false
1125|"Dagmersellen"|1|5|false|8.037119|47.200900|6211|false
1128|"Ettiswil"|1|6|false|8.045094|47.162764|6217|false
1136|"Menznau"|1|6|false|8.039317|47.084025|6122|false
1137|"Nebikon"|1|6|false|7.974650|47.191222|6244|false
1139|"Pfaffnau"|1|6|false|7.839719|47.232411|4915|false
1140|"Reiden"|1|5|false|7.998447|47.270119|6260|false
1143|"Schötz"|1|6|false|7.954078|47.159817|6143|false
1150|"Zell (LU)"|1|6|false|7.921992|47.134625|6144|false
1151|"Willisau"|1|5|false|8.013764|47.095775|6126|false
1201|"Altdorf (UR)"|1|5|true|8.634011|46.883681|6460|false
1205|"Bürglen (UR)"|1|6|false|8.668608|46.873231|6463|false
1206|"Erstfeld"|1|6|false|8.654461|46.820114|6472|false
1213|"Schattdorf"|1|5|false|8.658892|46.864067|6467|false
1216|"Silenen"|1|6|false|8.669675|46.790261|6473|false
1301|"Einsiedeln"|1|4|true|8.729897|47.148589|8836|false
1311|"Gersau"|1|6|false|8.530478|46.994486|6442|false
1321|"Feusisberg"|1|6|false|8.712694|47.174375|8834|false
1322|"Freienbach"|1|4|true|8.805842|47.214283|8640|false
1323|"Wollerau"|1|5|false|8.734603|47.196997|8832|false
1331|"Küssnacht (SZ)"|1|4|false|8.408042|47.066372|6402|false
1341|"Altendorf"|1|5|false|8.830872|47.191950|8852|false
1342|"Galgenen"|1|5|false|8.870456|47.182253|8854|false
1344|"Lachen"|1|5|false|8.857811|47.197453|8853|false
1345|"Reichenburg"|1|6|false|8.973511|47.167933|8864|false
1346|"Schübelbach"|1|5|false|8.923517|47.173286|8862|false
1347|"Tuggen"|1|6|false|8.947717|47.200050|8856|false
1349|"Wangen (SZ)"|1|6|false|8.890667|47.190303|8855|false
