"ID"|"SWISSDOC"
18329|"9.210.2.0"
18330|"9.220.2.0"
18332|"9.320.1.0"
18335|"9.350.3.0"
18340|"9.562.1.0"
18342|"9.562.2.0"
18343|"9.563.1.0"
18344|"9.563.2.0"
18345|"9.563.3.0"
18349|"9.614.3.0"
18350|"9.611.3.0"
18354|"9.701.3.0"
23984|"9.814.3.0"
23985|"9.814.3.0"
23986|"9.814.3.0"
23987|"9.814.3.0"
23988|"9.822.20.0"
23994|"9.814.4.0"
24003|"9.350.3.0"
24004|"9.350.3.0"
24004|"9.350.1.0"
24005|"9.851.1.0"
24011|"9.852.1.0"
24013|"9.854.1.0"
24022|"9.855.1.0"
24023|"9.701.5.0"
24024|"9.814.1.0"
24147|"9.000.1.0"
24149|"9.320.1.0"
24150|"9.701.3.0"
24153|"9.852.1.0"
24155|"9.854.1.0"
24169|"9.732.1.0"
24170|"9.732.1.0"
24186|"9.734.12.0"
24194|"9.853.1.0"
24196|"9.855.1.0"
24197|"9.861.1.0"
24199|"9.861.3.0"
24217|"9.862.1.0"
24221|"9.862.5.0"
24222|"9.862.6.0"
24224|"9.862.7.0"
24225|"9.862.8.0"
24226|"9.862.9.0"
24228|"9.862.11.0"
24229|"9.862.12.0"
24232|"9.862.15.0"
24234|"9.862.17.0"
24237|"9.862.20.0"
24241|"9.862.24.0"
24242|"9.863.1.0"
24246|"9.863.5.0"
24638|"9.722.3.0"
24643|"9.725.8.0"
24644|"9.725.15.0"
24645|"9.590.4.0"
24645|"9.722.3.0"
24646|"9.590.4.0"
24646|"9.722.3.0"
24647|"9.722.3.0"
24652|"9.722.3.0"
24654|"9.722.3.0"
24657|"9.723.5.0"
50397|"9.723.5.0"
24658|"9.723.5.0"
50401|"9.723.5.0"
24659|"9.724.1.0"
24660|"9.725.17.0"
50399|"9.725.17.0"
24663|"9.170.5.0"
24663|"9.616.1.0"
24665|"9.170.6.0"
24665|"9.621.1.0"
24666|"9.170.6.0"
24666|"9.430.2.0"
24667|"9.170.6.0"
24667|"9.621.1.0"
24668|"9.170.6.0"
24668|"9.430.2.0"
24671|"9.170.6.0"
24671|"9.621.1.0"
24672|"9.170.6.0"
24673|"9.170.6.0"
24673|"9.430.3.0"
24681|"9.616.1.0"
24683|"9.616.1.0"
24684|"9.616.1.0"
24693|"9.616.9.0"
34961|"9.616.9.0"
24695|"9.616.9.0"
59483|"9.616.9.0"
24696|"9.616.9.0"
24697|"9.616.9.0"
24699|"9.616.10.0"
24700|"9.616.9.0"
34957|"9.616.9.0"
59477|"9.616.9.0"
24701|"9.616.9.0"
34964|"9.616.9.0"
59478|"9.616.9.0"
24706|"9.616.9.0"
24709|"9.616.9.0"
24711|"9.616.9.0"
24721|"9.616.9.0"
24723|"9.616.9.0"
24724|"9.616.9.0"
24734|"9.562.1.0"
24735|"9.562.1.0"
24737|"9.563.2.0"
24738|"9.563.3.0"
